case_id,qid,property,track,class,subtype,confidence,selection_stratum,analysis_slice,analysis_slice_precise,main_score,diagnostic_only,popularity_bucket,constraint_family,decision_constraint_type_qid,decision_constraint_type_label,decision_constraint_source,classification_rule_family,classification_rule_subfamily,truth_source,truth_token_kind,truth_tokens_preview,decision_branch,local_match_kind,local_match_source,tbox_revision_key,group_key,selected_violation_name,candidate_violation_names,mapped_report_constraint_qid,mapped_report_constraint_label,mapped_report_family,target_constraint_qid,target_constraint_label,target_constraint_selection_reason,target_constraint_selection_confidence,target_constraint_is_changed,target_constraint_is_related_family,compatible_value_overlap_with_report_qids,compatible_property_overlap_with_report_pids,compatible_language_overlap_with_report_langs,compatible_scope_overlap_with_report_values,incompatible_overlap_ignored,value_specific_without_overlap,compatible_overlap_used,compatible_overlap_reason,semantic_changed_qualifier_properties,ignored_changed_qualifier_properties,semantic_added_values,semantic_removed_values,ignored_added_values,ignored_removed_values,qualifier_filter_reason,directional_subtype_precise,set_semantics,set_operation,polarity,polarity_basis,potential_directional_subtype_precise,potential_set_semantics,potential_set_operation,potential_polarity,potential_polarity_basis,potential_directional_subtype_basis,repair_locus_correct,historical_target_well_defined,target_visible_locally,extractor_missed_local_evidence,external_evidence_required,typec_judgment,typea_judgment,typeb_judgment,tbox_judgment,core_recommendation,notes,annotator_id,annotation_timestamp_utc
repair_Q11084_2443681378,Q11084,P1313,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_QID_TRUTH,main_ic_e_elim,,TRUE,FALSE,head,Q21503250,,,classifier_rule,negative_rule_and_local_scan,external_by_elimination,repair_target.new_value,qid,"[""Q109563825""]",external_by_elimination,,,,ABOX::Q11084::P1313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,no,no,yes,external_by_elimination_ok,not_typea,not_typeb,not_tbox,main,"External-by-elimination appears appropriate: no independent local match was recorded for the changed target [""Q109563825""]; P1313 repair for 'Kediri' likely needs external/domain/provenance evidence beyond the supplied local graph.",chatgpt_typec_example,2026-06-02T12:00:00Z
repair_Q11724997_2445332870,Q11724997,P184,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_QID_TRUTH,main_ic_e_elim,,TRUE,FALSE,mid,Q52004125,,,classifier_rule,negative_rule_and_local_scan,external_by_elimination,repair_target.new_value,qid,"[""Q11181530""]",external_by_elimination,,,,ABOX::Q11724997::P184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,no,no,yes,external_by_elimination_ok,not_typea,not_typeb,not_tbox,main,"External-by-elimination appears appropriate: no independent local match was recorded for the changed target [""Q11181530""]; P184 repair for 'Jerzy Lukierski' likely needs external/domain/provenance evidence beyond the supplied local graph.",chatgpt_typec_example,2026-06-02T12:00:00Z
reform_Q1867263_P485_2386344088,Q1867263,P485,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,mid,Q21510865,,,no_matching_changed_constraint,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P485::2386344088,TBOX::P485::2386344088,Self link,"[""Self link""]",,,unknown,,,no_matching_changed_constraint,low,FALSE,FALSE,,,,,,FALSE,FALSE,no_type_compatible_overlap,,,,,,,,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,Diagnostic unknown-causality T-box case: report 'Self link' could not be mapped to a changed semantic constraint target. Keep diagnostic.,chatgpt_tbox_example,2026-06-02T12:30:00Z
reform_Q686591_P166_2254793027,Q686591,P166,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,head,Q21510851,,,no_matching_changed_constraint,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P166::2254793027,TBOX::P166::2254793027,Q|484170,"[""Q|484170""]",,,unknown,,,no_matching_changed_constraint,low,FALSE,FALSE,,,,,,FALSE,FALSE,no_type_compatible_overlap,,,,,,,,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,Diagnostic unknown-causality T-box case: report 'Q|484170' could not be mapped to a changed semantic constraint target. Keep diagnostic.,chatgpt_tbox_example,2026-06-02T12:30:00Z
repair_Q122748457_2440237243,Q122748457,P170,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_LITERAL_TRUTH,main_ic_e_elim,,TRUE,FALSE,mid,Q21510865,,,classifier_rule,negative_rule_and_local_scan,external_by_elimination,repair_target.new_value,literal,"[""SOMEVALUE""]",external_by_elimination,,,,ABOX::Q122748457::P170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,no,not_applicable,no,not_typec,clean_rule_or_format,not_typeb,not_tbox,needs_discussion,Not a clean TypeC example: None-of/set-membership style repair replaces the disallowed 'anonymous' item with Wikidata unknown value (SOMEVALUE). This is closer to rule-level cleanup than external evidence; keep for discussion/reclassification.,chatgpt_typec_example,2026-06-02T12:00:00Z
reform_Q11148810_P400_2356390580,Q11148810,P400,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,head,Q21510865,,,no_matching_changed_constraint,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P400::2356390580,TBOX::P400::2356390580,Q|7188,"[""Q|7188""]",,,unknown,,,no_matching_changed_constraint,low,FALSE,FALSE,,,,,,FALSE,FALSE,no_type_compatible_overlap,,,,,,,,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,Diagnostic unknown-causality T-box case: report 'Q|7188' could not be mapped to a changed semantic constraint target. Keep diagnostic.,chatgpt_tbox_example,2026-06-02T12:30:00Z
reform_Q110738289_P166_2254793027,Q110738289,P166,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,mid,Q21510851,Q21503247,item-requires-statement constraint,mapped_violation_constraint_changed,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P166::2254793027,TBOX::P166::2254793027,Item P|31,"[""empty"", ""Item P|31""]",Q21503247,item requires statement constraint,required_statement,Q21503247,item requires statement constraint,mapped_violation_constraint_changed,high,TRUE,FALSE,,,,,,TRUE,FALSE,no_type_compatible_overlap,,"[""P4680""]",,,"[""Q29934200""]",,all_changed_qualifiers_are_metadata_or_irrelevant_for_family,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,"Diagnostic unknown-causality T-box case: mapped required_statement constraint Q21503247 exists/changed, but semantic changes are absent or only ignored metadata ([""P4680""]), and concrete report overlap is missing.",chatgpt_tbox_example,2026-06-02T12:30:00Z
repair_Q122922876_2440236445,Q122922876,P170,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_LITERAL_TRUTH,main_ic_e_elim,,TRUE,FALSE,tail,Q21510865,,,classifier_rule,negative_rule_and_local_scan,external_by_elimination,repair_target.new_value,literal,"[""SOMEVALUE""]",external_by_elimination,,,,ABOX::Q122922876::P170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,no,not_applicable,no,not_typec,clean_rule_or_format,not_typeb,not_tbox,needs_discussion,Not a clean TypeC example: None-of/set-membership style repair replaces the disallowed 'anonymous' item with Wikidata unknown value (SOMEVALUE). This is closer to rule-level cleanup than external evidence; keep for discussion/reclassification.,chatgpt_typec_example,2026-06-02T12:00:00Z
reform_Q21487823_P6597_2040528587,Q21487823,P6597,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,mid,Q19474404,Q21503247,item-requires-statement constraint,mapped_violation_constraint_changed,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P6597::2040528587,TBOX::P6597::2040528587,Item P|407,"[""Item P|407""]",Q21503247,item requires statement constraint,required_statement,Q21503247,item requires statement constraint,mapped_violation_constraint_changed,high,TRUE,FALSE,,,,,,TRUE,FALSE,no_type_compatible_overlap,,"[""P4680""]",,,"[""Q29934200""]",,all_changed_qualifiers_are_metadata_or_irrelevant_for_family,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,"Diagnostic unknown-causality T-box case: mapped required_statement constraint Q21503247 exists/changed, but semantic changes are absent or only ignored metadata ([""P4680""]), and concrete report overlap is missing.",chatgpt_tbox_example,2026-06-02T12:30:00Z
repair_Q74775133_2447346381,Q74775133,P921,A_BOX,TypeA,SELF_LINK_REJECTION,high,TypeA_SELF_LINK_REJECTION,main_ic_l_self_link_rejection,,TRUE,FALSE,mid,Q21503250,,,violation_report,self_link_report,self_link_rejection,repair_target.new_value,qid,"[""Q44275059"", ""Q54973000"", ""Q12128"", ""Q4932206"", ""Q59283400"", ""...(+1)""]",self_link_rejection,,,,ABOX::Q74775133::P921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q28667156_P140_1858269104,Q28667156,P140,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,mid,Q21503250,Q21503250,subject type constraint,mapped_violation_constraint_changed,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P140::1858269104,TBOX::P140::1858269104,"Type Q|5, Q|14897293, Q|43229, Q|27096235, Q|39614, Q|16334295, Q|4164871, Q|21029893, Q|2110808, Q|628455, Q|17524420, Q|838948, Q|21070568, Q|375011, Q|192909, Q|24334685, Q|60469796, Q|208145, Q|40953, Q|23847174, Q|8205328, Q|47848, Q|63187345, Q|2728698, Q|178885, Q|511056, Q|2627975, Q|3071477, Q|1131696, Q|189819","[""Type Q|5, Q|14897293, Q|43229, Q|27096235, Q|39614, Q|16334295, Q|4164871, Q|21029893, Q|2110808, Q|628455, Q|17524420, Q|838948, Q|21070568, Q|375011, Q|192909, Q|24334685, Q|60469796, Q|208145, Q|40953, Q|23847174, Q|8205328, Q|47848, Q|63187345, Q|2728698, Q|178885, Q|511056, Q|2627975, Q|3071477, Q|1131696, Q|189819""]",Q21503250,type constraint,type,Q21503250,type constraint,mapped_violation_constraint_changed,high,TRUE,FALSE,,,,,,TRUE,FALSE,no_type_compatible_overlap,,"[""P4680""]",,,"[""Q29934200""]",,all_changed_qualifiers_are_metadata_or_irrelevant_for_family,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,"Diagnostic unknown-causality T-box case: mapped type constraint Q21503250 exists/changed, but semantic changes are absent or only ignored metadata ([""P4680""]), and concrete report overlap is missing.",chatgpt_tbox_example,2026-06-02T12:30:00Z
reform_Q1802655_P18_2402814023,Q1802655,P18,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,tail,Q21502404,,,no_matching_changed_constraint,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P18::2402814023,TBOX::P18::2402814023,Q|13406463,"[""Q|13406463""]",,,unknown,,,no_matching_changed_constraint,low,FALSE,FALSE,,,,,,FALSE,FALSE,no_type_compatible_overlap,,,,,,,,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,Diagnostic unknown-causality T-box case: report 'Q|13406463' could not be mapped to a changed semantic constraint target. Keep diagnostic.,chatgpt_tbox_example,2026-06-02T12:30:00Z
repair_Q15502554_2086442380,Q15502554,P3795,A_BOX,TypeA,FORMAT_NORMALIZATION,high,TypeA_FORMAT_NORMALIZATION,main_ic_l_format_normalization,,TRUE,FALSE,head,Q19474404,Q21502404,format constraint,classifier_rule,format,strip_trailing_slash,repair_target.new_value,literal,"[""ARGUNI""]",format_normalization,,,,ABOX::Q15502554::P3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,not_applicable,no,not_typec,clean_rule_or_format,not_typeb,not_tbox,main,,1,2026-06-02T10:10:11+00:00
reform_Q3580099_P2521_1725922197,Q3580099,P2521,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,tail,Q53869507,Q21503247,item-requires-statement constraint,mapped_violation_constraint_changed,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P2521::1725922197,TBOX::P2521::1725922197,Item P|3321,"[""Item P|3321""]",Q21503247,item requires statement constraint,required_statement,Q21503247,item requires statement constraint,mapped_violation_constraint_changed,high,TRUE,FALSE,,,,,,TRUE,FALSE,no_type_compatible_overlap,,"[""P4680""]",,,"[""Q29934200""]",,all_changed_qualifiers_are_metadata_or_irrelevant_for_family,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,"Diagnostic unknown-causality T-box case: mapped required_statement constraint Q21503247 exists/changed, but semantic changes are absent or only ignored metadata ([""P4680""]), and concrete report overlap is missing.",chatgpt_tbox_example,2026-06-02T12:30:00Z
