case_id,qid,property,track,class,subtype,confidence,selection_stratum,analysis_slice,main_score,diagnostic_only,popularity_bucket,constraint_family,truth_source,truth_token_kind,truth_tokens_preview,decision_branch,local_match_kind,local_match_source,tbox_revision_key,group_key,repair_locus_correct,historical_target_well_defined,target_visible_locally,extractor_missed_local_evidence,external_evidence_required,typec_judgment,typea_judgment,typeb_judgment,tbox_judgment,core_recommendation,notes,annotator_id,annotation_timestamp_utc
repair_Q15564178_2086445496,Q15564178,P3795,A_BOX,TypeA,FORMAT_NORMALIZATION,high,TypeA_FORMAT_NORMALIZATION,main_ic_l_format_normalization,True,False,mid,Q19474404,repair_target.new_value,literal,"[""CREACU""]",format_normalization,,,,ABOX::Q15564178::P3795,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q34318765_2441936274,Q34318765,P50,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_QID_TRUTH,main_ic_e_elim,True,False,mid,Q52004125,repair_target.new_value,qid,"[""Q58941021""]",external_by_elimination,,,,ABOX::Q34318765::P50,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q462843_2437787877,Q462843,P22,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_QID_TRUTH,main_ic_e_elim,True,False,head,Q21502838,repair_target.new_value,qid,"[""Q69148050""]",external_by_elimination,,,,ABOX::Q462843::P22,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q53896845_2445336866,Q53896845,P50,A_BOX,TypeC,UNKNOWN_SELECTION_AMBIGUOUS,low,TypeC_UNKNOWN_SELECTION_AMBIGUOUS,diagnostic_ic_u,False,True,mid,Q52004125,repair_target.new_value,qid,"[""Q61516239""]",unknown_selection_ambiguous,id_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_QID,,ABOX::Q53896845::P50,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q1388921_2422270407,Q1388921,P6671,A_BOX,TypeA,DELETE_AMBIGUOUS,low,TypeA_DELETE_AMBIGUOUS,diagnostic_ambiguous_delete,False,True,head,Q19474404,none_expected,none_expected,[],delete_refined,,,,ABOX::Q1388921::P6671,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q78529461_2446944294,Q78529461,P2860,A_BOX,TypeA,SELF_LINK_REJECTION,high,TypeA_SELF_LINK_REJECTION,main_ic_l_self_link_rejection,True,False,mid,Q21510864,repair_target.new_value,qid,"[""Q49182336"", ""Q74634188"", ""Q83292930"", ""Q74807075"", ""Q78882049"", ""...(+10)""]",self_link_rejection,,,,ABOX::Q78529461::P2860,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q28606479_2443314174,Q28606479,P2860,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_QID_TRUTH,main_ic_e_elim,True,False,mid,Q21510864,repair_target.new_value,qid,"[""Q7810920"", ""Q5188679"", ""Q27700202"", ""Q27008841"", ""Q30978201"", ""...(+3)""]",external_by_elimination,id_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_QID,,ABOX::Q28606479::P2860,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q71307_2422269300,Q71307,P6671,A_BOX,TypeA,DELETE_AMBIGUOUS,low,TypeA_DELETE_AMBIGUOUS,diagnostic_ambiguous_delete,False,True,head,Q19474404,none_expected,none_expected,[],delete_refined,,,,ABOX::Q71307::P6671,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q100537767_1295681249,Q100537767,P8726,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_LITERAL_TRUTH,main_ic_e_elim,True,False,tail,Q21502404,repair_target.new_value,literal,"[""2013/si/572/made""]",external_by_elimination,,,,ABOX::Q100537767::P8726,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q57907259_2447300850,Q57907259,P1053,A_BOX,TypeC,UNKNOWN_MULTIPLICITY_ARTIFACT,low,TypeC_UNKNOWN_MULTIPLICITY_ARTIFACT,diagnostic_ic_u,False,True,mid,Q21502404,repair_target.new_value,literal,"[""H-6394-2014""]",unknown_multiplicity_artifact,,,,ABOX::Q57907259::P1053,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q132181527_2442323278,Q132181527,P131,A_BOX,TypeA,DELETE_AMBIGUOUS,low,TypeA_DELETE_AMBIGUOUS,diagnostic_ambiguous_delete,False,True,tail,Q21502838,none_expected,none_expected,[],delete_refined,,,,ABOX::Q132181527::P131,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q26293016_2444319553,Q26293016,P225,A_BOX,TypeC,UNKNOWN_SELECTION_AMBIGUOUS,low,TypeC_UNKNOWN_SELECTION_AMBIGUOUS,diagnostic_ic_u,False,True,mid,Q21502838,repair_target.new_value,literal,"[""Streptomyces thermospinisporus""]",unknown_selection_ambiguous,literal_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_LITERAL,,ABOX::Q26293016::P225,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q100537373_1295674950,Q100537373,P8726,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_LITERAL_TRUTH,main_ic_e_elim,True,False,tail,Q21502404,repair_target.new_value,literal,"[""2007/si/623/made""]",external_by_elimination,,,,ABOX::Q100537373::P8726,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q72461546_2425387483,Q72461546,P2877,A_BOX,TypeA,FORMAT_NORMALIZATION,high,TypeA_FORMAT_NORMALIZATION,main_ic_l_format_normalization,True,False,tail,Q21502404,repair_target.new_value,numeric,"[""214196""]",rule_deterministic,,,,ABOX::Q72461546::P2877,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q6623732_2440379452,Q6623732,P1754,A_BOX,TypeC,UNKNOWN_SELECTION_AMBIGUOUS,low,TypeC_UNKNOWN_SELECTION_AMBIGUOUS,diagnostic_ic_u,False,True,mid,Q21503250,repair_target.new_value,qid,"[""Q8523541""]",unknown_selection_ambiguous,id_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_QID,,ABOX::Q6623732::P1754,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q82107958_2425489486,Q82107958,P2877,A_BOX,TypeA,FORMAT_NORMALIZATION,high,TypeA_FORMAT_NORMALIZATION,main_ic_l_format_normalization,True,False,mid,Q21502404,repair_target.new_value,numeric,"[""490162""]",format_normalization,,,,ABOX::Q82107958::P2877,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q7783986_1580936803,Q7783986,P1346,A_BOX,TypeC,UNKNOWN_SELECTION_AMBIGUOUS,low,TypeC_UNKNOWN_SELECTION_AMBIGUOUS,diagnostic_ic_u,False,True,head,Q21503250,repair_target.new_value,qid,"[""Q22277554"", ""Q108871755"", ""Q1421302"", ""Q16197959"", ""Q55687800"", ""...(+16)""]",unknown_selection_ambiguous,id_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_QID,,ABOX::Q7783986::P1346,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q422582_2425335103,Q422582,P2877,A_BOX,TypeA,FORMAT_NORMALIZATION,high,TypeA_FORMAT_NORMALIZATION,main_ic_l_format_normalization,True,False,head,Q21502404,repair_target.new_value,numeric,"[""37405""]",format_normalization,,,,ABOX::Q422582::P2877,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q100537036_1295668682,Q100537036,P8726,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_LITERAL_TRUTH,main_ic_e_elim,True,False,tail,Q21502404,repair_target.new_value,literal,"[""2007/si/483/made""]",external_by_elimination,,,,ABOX::Q100537036::P8726,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q72049593_2446943599,Q72049593,P2860,A_BOX,TypeA,SELF_LINK_REJECTION,high,TypeA_SELF_LINK_REJECTION,main_ic_l_self_link_rejection,True,False,mid,Q21510864,repair_target.new_value,qid,"[""Q59019016"", ""Q72922814""]",self_link_rejection,,,,ABOX::Q72049593::P2860,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q135504583_2388914308,Q135504583,P5236,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_QID_TRUTH,main_ic_e_elim,True,False,tail,Q21503250,repair_target.new_value,qid,"[""Q200"", ""Q201"", ""Q19242243""]",external_by_elimination,,,,ABOX::Q135504583::P5236,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q3859_2444563007,Q3859,P856,A_BOX,TypeC,UNKNOWN_SELECTION_AMBIGUOUS,low,TypeC_UNKNOWN_SELECTION_AMBIGUOUS,diagnostic_ic_u,False,True,head,Q21502404,repair_target.new_value,literal,"[""https://www.kigalicity.gov.rw/""]",unknown_selection_ambiguous,literal_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_LITERAL,,ABOX::Q3859::P856,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q50414229_703355254,Q50414229,P644,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_LITERAL_TRUTH,main_ic_e_elim,True,False,tail,Q21502404,repair_target.new_value,numeric,"[""1205730""]",external_by_elimination,,,,ABOX::Q50414229::P644,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q136232073_2405255069,Q136232073,P1006,A_BOX,TypeC,UNKNOWN_SELECTION_AMBIGUOUS,low,TypeC_UNKNOWN_SELECTION_AMBIGUOUS,diagnostic_ic_u,False,True,tail,Q21502404,repair_target.new_value,numeric,"[""328663352""]",unknown_selection_ambiguous,literal_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_LITERAL,,ABOX::Q136232073::P1006,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q16121727_2086447164,Q16121727,P3795,A_BOX,TypeA,FORMAT_NORMALIZATION,high,TypeA_FORMAT_NORMALIZATION,main_ic_l_format_normalization,True,False,mid,Q19474404,repair_target.new_value,literal,"[""podalp""]",format_normalization,,,,ABOX::Q16121727::P3795,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q124966080_2445323477,Q124966080,P176,A_BOX,TypeA,DELETE_AMBIGUOUS,low,TypeA_DELETE_AMBIGUOUS,diagnostic_ambiguous_delete,False,True,tail,Q21510865,none_expected,none_expected,[],delete_refined,,,,ABOX::Q124966080::P176,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q1166362_2422275679,Q1166362,P6671,A_BOX,TypeA,DELETE_AMBIGUOUS,low,TypeA_DELETE_AMBIGUOUS,diagnostic_ambiguous_delete,False,True,head,Q19474404,none_expected,none_expected,[],delete_refined,,,,ABOX::Q1166362::P6671,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q775073_2425452244,Q775073,P2877,A_BOX,TypeA,FORMAT_NORMALIZATION,high,TypeA_FORMAT_NORMALIZATION,main_ic_l_format_normalization,True,False,head,Q21502404,repair_target.new_value,numeric,"[""44957""]",format_normalization,,,,ABOX::Q775073::P2877,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q123916603_P403_2442802452,Q123916603,P403,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,True,False,tail,Q21503250,none_expected,none_expected,[],,,,TBOX::P403::2442802452,TBOX::P403::2442802452,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q82550_2443411347,Q82550,P1889,A_BOX,TypeC,UNKNOWN_SELECTION_AMBIGUOUS,low,TypeC_UNKNOWN_SELECTION_AMBIGUOUS,diagnostic_ic_u,False,True,head,Q21510851,repair_target.new_value,qid,"[""Q65708270"", ""Q9351759""]",unknown_selection_ambiguous,id_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_QID,,ABOX::Q82550::P1889,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q43455083_P8988_2445674626,Q43455083,P8988,T_BOX,T_BOX,SCHEMA_UPDATE,medium,TBOX_SCHEMA_UPDATE,main_tbox_schema_update,True,False,mid,Q21502404,none_expected,none_expected,[],,,,TBOX::P8988::2445674626,TBOX::P8988::2445674626,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q72518501_2424863878,Q72518501,P2877,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_LITERAL_TRUTH,main_ic_e_elim,True,False,mid,Q21502404,repair_target.new_value,numeric,"[""10762405"", ""3653849""]",external_by_elimination,,,,ABOX::Q72518501::P2877,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q22661176_P4203_664001720,Q22661176,P4203,T_BOX,T_BOX,COINCIDENTAL_SCHEMA_CHANGE,low,TBOX_COINCIDENTAL_SCHEMA_CHANGE,diagnostic_tbox_coincidental,False,True,mid,Q19474404,none_expected,none_expected,[],,,,TBOX::P4203::664001720,TBOX::P4203::664001720,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q59322_2422268846,Q59322,P6671,A_BOX,TypeA,DELETE_AMBIGUOUS,low,TypeA_DELETE_AMBIGUOUS,diagnostic_ambiguous_delete,False,True,head,Q19474404,none_expected,none_expected,[],delete_refined,,,,ABOX::Q59322::P6671,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q108308406_2447220088,Q108308406,P50,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_QID_TRUTH,main_ic_e_elim,True,False,mid,Q52004125,repair_target.new_value,qid,"[""Q57413151"", ""Q26972386""]",external_by_elimination,id_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_QID,,ABOX::Q108308406::P50,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q135501528_2388922197,Q135501528,P5236,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_QID_TRUTH,main_ic_e_elim,True,False,mid,Q21503250,repair_target.new_value,qid,"[""Q200"", ""Q201"", ""Q203"", ""Q713181""]",external_by_elimination,,,,ABOX::Q135501528::P5236,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q105793314_2354400897,Q105793314,P3628,A_BOX,TypeA,REJECTION_FORMAT_INVALID,high,TypeA_REJECTION_FORMAT_INVALID,main_ic_l_rejection_format_invalid,True,False,tail,Q21502404,none_expected,none_expected,[],delete_refined,,,,ABOX::Q105793314::P3628,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q24030458_P373_2442604045,Q24030458,P373,T_BOX,T_BOX,SCHEMA_UPDATE,medium,TBOX_SCHEMA_UPDATE,main_tbox_schema_update,True,False,mid,Q21502838,none_expected,none_expected,[],,,,TBOX::P373::2442604045,TBOX::P373::2442604045,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q321229_2441225472,Q321229,P227,A_BOX,TypeC,UNKNOWN_SELECTION_AMBIGUOUS,low,TypeC_UNKNOWN_SELECTION_AMBIGUOUS,diagnostic_ic_u,False,True,head,Q52004125,repair_target.new_value,literal,"[""4036485-9""]",unknown_selection_ambiguous,literal_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_LITERAL,,ABOX::Q321229::P227,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q426962_2384506909,Q426962,P2892,A_BOX,TypeC,UNKNOWN_SELECTION_AMBIGUOUS,low,TypeC_UNKNOWN_SELECTION_AMBIGUOUS,diagnostic_ic_u,False,True,mid,Q19474404,repair_target.new_value,literal,"[""C0346046""]",unknown_selection_ambiguous,literal_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_LITERAL,,ABOX::Q426962::P2892,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q4941561_2426561999,Q4941561,P682,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_QID_TRUTH,main_ic_e_elim,True,False,mid,Q21503250,repair_target.new_value,qid,"[""Q14633911"", ""Q14903145"", ""Q14859574"", ""Q14901698"", ""Q14858821"", ""...(+27)""]",external_by_elimination,id_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_QID,,ABOX::Q4941561::P682,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q216694_2297179307,Q216694,P8748,A_BOX,TypeA,REJECTION_FORMAT_INVALID,high,TypeA_REJECTION_FORMAT_INVALID,main_ic_l_rejection_format_invalid,True,False,head,Q52004125,none_expected,none_expected,[],delete_refined,,,,ABOX::Q216694::P8748,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q2326494_2441312347,Q2326494,P31,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_QID_TRUTH,main_ic_e_elim,True,False,mid,Q21510851,repair_target.new_value,qid,"[""Q1573906""]",external_by_elimination,,,,ABOX::Q2326494::P31,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q874154_P691_2445073477,Q874154,P691,T_BOX,T_BOX,SCHEMA_UPDATE,medium,TBOX_SCHEMA_UPDATE,main_tbox_schema_update,True,False,head,Q21502404,none_expected,none_expected,[],,,,TBOX::P691::2445073477,TBOX::P691::2445073477,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q743661_2425443354,Q743661,P2877,A_BOX,TypeA,FORMAT_NORMALIZATION,high,TypeA_FORMAT_NORMALIZATION,main_ic_l_format_normalization,True,False,head,Q21502404,repair_target.new_value,numeric,"[""187397""]",format_normalization,,,,ABOX::Q743661::P2877,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q840195_2422269778,Q840195,P6671,A_BOX,TypeA,REJECTION_FORMAT_INVALID,high,TypeA_REJECTION_FORMAT_INVALID,main_ic_l_rejection_format_invalid,True,False,head,Q19474404,none_expected,none_expected,[],delete_refined,,,,ABOX::Q840195::P6671,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q16474964_P131_2437507566,Q16474964,P131,T_BOX,T_BOX,SCHEMA_UPDATE,medium,TBOX_SCHEMA_UPDATE,main_tbox_schema_update,True,False,tail,Q21502838,none_expected,none_expected,[],,,,TBOX::P131::2437507566,TBOX::P131::2437507566,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q3182098_2445431242,Q3182098,P54,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_QID_TRUTH,main_ic_e_elim,True,False,head,Q21510865,repair_target.new_value,qid,"[""Q55801"", ""Q104901906""]",external_by_elimination,id_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_QID,,ABOX::Q3182098::P54,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q100548202_1295700384,Q100548202,P8726,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_LITERAL_TRUTH,main_ic_e_elim,True,False,tail,Q21502404,repair_target.new_value,literal,"[""2011/si/105/made""]",external_by_elimination,,,,ABOX::Q100548202::P8726,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
